revenue_total,profit_total,gross_margin
4795319808.0,737594866.0,15.381557342004081
4798436864.0,739787322.0,15.417256555988313
4801976320.0,742402178.0,15.460346501667047
4803360768.0,742862026.0,15.465463909122722
4806742528.0,745319186.0,15.505702285038222
4808649728.0,746301786.0,15.519986445558798
4810722304.0,747449762.0,15.537162919973857
4812218880.0,748021738.0,15.544216849920177
4813186048.0,748064306.0,15.541977778125563
4814597120.0,748550778.0,15.547526809470613
4818118656.0,751147714.0,15.590062587283862
4821019648.0,753124106.0,15.621676761106617
4825246720.0,756426578.0,15.67643318350362
4826908160.0,757163418.0,15.686302554387114
4830016512.0,759347170.0,15.721419753191933
4831803904.0,760209962.0,15.733460568850106
4834401280.0,761882738.0,15.759608974784982
4835763712.0,762320570.0,15.764222890136118
4836990464.0,762622722.0,15.76647148006451
4838618112.0,763325770.0,15.77569777839909
4841791488.0,765574546.0,15.811803294243802
4844337664.0,767196122.0,15.836966273043018
4848698880.0,770632738.0,15.893598614232774
4849978368.0,770987626.0,15.896722985136416
4853065728.0,773150386.0,15.931174835306084
4855386624.0,774546682.0,15.952317332906999
4857183232.0,775418690.0,15.964369737822565
4858816000.0,776126858.0,15.973579942109353
4860114944.0,776501202.0,15.977013114856899
4861779968.0,777241626.0,15.986770917560372
4866180096.0,780717154.0,16.043737358626522
4869091840.0,782704298.0,16.07495450322005
4873540608.0,786228466.0,16.132592897849104
4875040256.0,786803514.0,16.139425987952293
4878620160.0,789458818.0,16.182010324821025
4880654848.0,790568906.0,16.198008886532104
4882501632.0,791491090.0,16.210769594270154
4883638784.0,791703642.0,16.211347255939884
4884615168.0,791755426.0,16.209166920393923
4886334464.0,792550122.0,16.219727238057523
4889638912.0,794929970.0,16.257437089047773
4891986944.0,796353402.0,16.278731139638953
4896175104.0,799616962.0,16.33146170255924
4897893888.0,800411146.0,16.341945421909475
4901723136.0,803315794.0,16.388436713207295
4904016896.0,804684954.0,16.40869048914468
4905981440.0,805724898.0,16.42331728837523
4907274752.0,806093610.0,16.42650250368537
4907664384.0,805558642.0,16.41429769782725
4909669888.0,806639546.0,16.42960859693547
4913444352.0,809489410.0,16.47498886744286
4916610048.0,811730506.0,16.509963126528596
4921009152.0,815205010.0,16.565809670739664
4922781184.0,816052442.0,16.577061045336116
4926271488.0,818618146.0,16.61739812744969
4928366592.0,819788650.0,16.634084228448565
4930073088.0,820570546.0,16.644186229151497
4931247104.0,820819962.0,16.645281501593963
4932415488.0,821063746.0,16.646281076635855
4934154752.0,821878410.0,16.65692405911796
4937840128.0,824639186.0,16.70040269882144
4940976640.0,826851098.0,16.7345680468548
4945116160.0,830066018.0,16.785571686146195
4946395136.0,830420394.0,16.78839581488704
4950264320.0,833364978.0,16.83475717918836
4951867392.0,834043450.0,16.843008585961748
4953594880.0,834846338.0,16.85334304124604
4954683392.0,835010250.0,16.85294869392131
4955581952.0,834984210.0,16.84936740200639
4957053952.0,835531610.0,16.855406822088185
4960760832.0,838313890.0,16.898897535885077
4963621888.0,840250346.0,16.92816989205766
4967282688.0,842986546.0,16.970778571481212
4968302080.0,843081338.0,16.969204457068763
4971544064.0,845398722.0,17.004751665015114
4973629440.0,846559498.0,17.020960411558125
4975897600.0,847903058.0,17.040203118327838
4976877568.0,847958426.0,17.03796033585691
4977824256.0,847980514.0,17.035163766135177
4978835968.0,848067626.0,17.03345182389427
4981715968.0,850023026.0,17.06285608132045
4984412672.0,851795130.0,17.089177523060435
4988601344.0,855059202.0,17.14025922372842
4990288384.0,855821642.0,17.149743184060444
4994100736.0,858709394.0,17.194474829271847
4996751360.0,860435418.0,17.219896608983962
4998791168.0,861550626.0,17.23517940727865
5000142336.0,861977194.0,17.23905313242667
5000817664.0,861727922.0,17.231740485229576
